experiment_id,strain_name,species,assembly,culture_type,fermentation_type,reactor_scale,search_stage,replicate_id,batch_id,experiment_date,carbon_source,nitrogen_source,glucose_g_L,sucrose_g_L,maltose_g_L,total_carbon_g_L,ammonium_g_L,nitrate_g_L,yeast_extract_g_L,total_nitrogen_g_L,phosphate_g_L,sulfate_g_L,magnesium_g_L,calcium_g_L,trace_mix_x,vitamin_mix_x,pH,temperature_C,mixing,rpm,agar_percent,inoculum_g_L,incubation_time_h,feasible_growth,growth_rate_h_inv,fba_growth_proxy,biomass_g_L,glucose_uptake_proxy,nitrogen_uptake_proxy,phosphate_uptake_proxy,sulfate_uptake_proxy,fva_range_proxy,biomass_yield_g_per_g_carbon,organic_acid_g_L,ethanol_g_L,other_byproducts_g_L,total_byproducts_g_L,clean_score,is_synthetic,notes,growth_norm,biomass_norm,yield_norm,byproduct_penalty_norm,overall_rank_score,rank_within_strain
SYN0001,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,mini_bioreactor,refine,1,B1,2026-01-15,maltose,ammonium,0.0,0.0,27.83,27.83,4.8,0.0,0.0,4.8,0.75,0.93,0.309,0.464,1.32,1.66,4.34,30.9,low,130,0.0,0.471,72,0,0.008509,0.0084,0.064753,21.986154,2.71359,0.303001,0.501332,0.208661,0.002327,0.308065,0.109841,0.062538,0.480444,0.118771,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.02320608938258002,0.022717345810747143,0.020401364182323495,0.033034829699269436,0.011895,61
SYN0002,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,shake_flask,screen,1,B3,2026-01-23,sucrose,yeast_extract,0.0,8.9,0.0,8.9,0.0,0.0,3.91,2.346,1.18,1.36,0.361,0.418,1.43,0.69,6.48,28.2,medium,173,0.0,0.841,72,0,0.021805,0.020851,0.11543,7.010305,1.757293,0.470736,0.462516,0.20845,0.01297,0.202325,0.063165,0.079729,0.345218,0.250581,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.059467479020702485,0.04049639749408587,0.11371108441974033,0.016030974263099414,0.053722,26
SYN0003,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,shake_flask,refine,2,B4,2026-01-16,sucrose,ammonium,0.0,21.78,0.0,21.78,2.1,0.0,0.0,2.1,0.33,0.9,0.187,0.21,1.72,0.54,4.54,26.7,medium,181,0.0,0.105,72,0,0.004455,0.004406,0.032296,18.876896,1.49448,0.134127,0.427829,0.208146,0.001483,0.25114,0.035247,0.136262,0.422649,0.070989,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.012149856410787871,0.011330431027193947,0.013001814818386652,0.025767456376584105,0.004377,76
SYN0004,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,shake_flask,screen,1,B2,2026-01-20,glucose,nitrate,15.85,0.0,0.0,15.85,0.0,0.89,0.0,0.89,0.71,1.93,0.729,0.353,0.61,1.94,6.15,29.2,medium,183,0.0,0.79,24,0,0.005534,0.005436,0.035745,13.90926,0.713613,0.355875,1.002747,0.175887,0.002255,0.221223,0.083045,0.196477,0.500745,0.066628,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.015092548906240198,0.012540446404107246,0.019770123004357317,0.035587558236752526,0.004729,74
SYN0005,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,shake_flask,screen,3,B1,2026-01-06,sucrose,nitrate,0.0,14.9,0.0,14.9,0.0,1.21,0.0,1.21,0.64,1.2,0.153,0.463,1.2,0.76,3.58,37.3,medium,180,0.0,0.611,72,0,1.7e-05,1.6e-05,0.000108,11.167113,0.886005,0.322316,0.369077,0.22803,7e-06,0.36047,0.093834,0.116649,0.570952,0.000189,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,4.636308843622757e-05,3.7889724762724366e-05,6.13706700800449e-05,0.04441566583889405,-0.011062,131
SYN0006,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,shake_flask,refine,1,B1,2026-01-19,maltose,yeast_extract,0.0,0.0,13.44,13.44,0.0,0.0,5.34,3.204,3.33,1.55,0.104,0.459,0.54,0.17,4.87,35.3,high,244,0.0,0.577,48,0,0.001626,0.001647,0.009701,10.490311,2.87505,2.20475,0.87112,0.206197,0.000722,0.195407,0.108607,0.15384,0.457853,0.020749,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.0044344930469003545,0.0034034094437332325,0.006329946256827488,0.030194147447642407,-0.003539,97
SYN0007,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,shake_flask,screen,1,B5,2026-01-10,maltose,yeast_extract,0.0,0.0,16.21,16.21,0.0,0.0,0.94,0.564,3.41,0.56,0.751,0.128,0.33,1.68,4.16,31.6,high,243,0.0,0.196,24,0,0.0,0.0,0.0,11.177551,0.44397,1.338907,0.267241,0.262224,0.0,0.586725,0.092403,0.493801,1.172929,0.0,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.0,0.0,0.0,0.12011064967261927,-0.030028,168
SYN0008,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,shake_flask,exploit,1,B5,2026-01-03,sucrose,nitrate,0.0,8.93,0.0,8.93,0.0,1.09,0.0,1.09,4.19,0.83,0.255,0.249,1.36,1.92,6.92,22.4,medium,185,0.0,0.322,72,0,0.003386,0.003299,0.017724,7.056615,0.898887,1.492658,0.280706,0.211053,0.001985,0.286427,0.075743,0.085463,0.447633,0.038088,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.009234436320298033,0.006218124830504877,0.017402968586984157,0.028909043972292565,0.001662,82
SYN0009,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,shake_flask,refine,3,B4,2026-01-27,maltose,nitrate,0.0,0.0,23.09,23.09,0.0,2.71,0.0,2.71,1.81,0.88,0.529,0.435,0.96,0.57,6.26,35.1,low,128,0.0,0.275,24,0,0.014788,0.015133,0.098177,16.980756,1.636202,0.706663,0.270514,0.231086,0.004252,0.205543,0.036541,0.221791,0.463875,0.174676,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.04033043245852549,0.034443513963240656,0.037278298454335834,0.030951377695055002,0.025889,47
SYN0010,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,shake_flask,refine,2,B5,2026-01-23,glucose,ammonium,14.54,0.0,0.0,14.54,3.23,0.0,0.0,3.23,3.96,1.71,0.054,0.099,0.55,0.57,5.04,22.8,medium,178,0.0,0.593,48,0,0.001598,0.001643,0.01078,13.723887,2.68319,2.466356,0.897526,0.233465,0.000741,0.255484,0.02843,0.123262,0.407176,0.025792,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.0043581303130053916,0.003781955860575636,0.006496523789901895,0.023821819774422843,-0.001807,92
