scenario,search_stage,glucose,ammonium,phosphate,sulfate,oxygen_bound,temperature,pH,mixing,growth,fba_growth,fva_range,log_volume,anisotropy_log,flux_std,biomass_flux_mean,biomass_std,glucose_uptake,oxygen_uptake,ammonium_uptake,phosphate_uptake,sulfate_uptake,ethanol_excr,acetate_excr,formate_excr,d_lactate_excr,l_lactate_excr,succinate_excr,pyruvate_excr,citrate_excr,oxalate_excr,malate_excr,biomass_yield,byproduct_mean,byproduct_total,clean_score,growth_norm,biomass_norm,yield_norm,byproduct_penalty_norm,overall_rank_score,substrate_cost_proxy,mixing_cost_proxy,economic_cost_proxy,mixing_fibrousness,pH_morph_penalty,morphology_score_raw,meatiness_score_raw,economic_score,morphology_score,meatiness_score,industrial_score
14,explore,18.0,3.0,1.0,1.0,1000.0,31.0,6.4,low,2.485183741573353,2.485183741573353,364.0535436856336,-42317.40296010581,41.357022485502426,71.17697631859545,0.6490660892619549,0.0662096195339382,18.0,1000.0,3.0,1.0,1.0,0.1601510416377392,1.333881707103509,5.564141568912832,0.1410221775059416,0.1305649397159884,0.2556788598009155,0.2132359671383057,0.4608109046947228,2.158025862572885,0.2615910858564575,0.1380657634207418,1.0679104114939295,10.679104114939298,0.2127889020523788,0.8666666666666668,0.8777817526928895,1.0,0.891464814807749,0.454099419657177,19.0,0.1,138.33987171602155,1.0,0.40000000000000036,3.682220489888024,1.3471050454012916,0.23850574712643846,1.0,0.9924018100876326,0.6169822970431013
6,explore,18.0,3.0,2.0,1.5,1000.0,31.0,6.4,low,2.4851837415733526,2.4851837415733526,364.3171776969977,-42347.43377891378,41.3609083087999,71.20533860961375,0.6438447131627909,0.0662751908762223,18.0,1000.0,3.0,2.0,1.5,0.1574716368596072,1.3762017586400572,5.511455968653978,0.1415567020710353,0.1332255052680179,0.2569855016856089,0.2127338972327028,0.4595408312380693,2.141585261886797,0.2625419542593335,0.1380657634207418,1.0653299017795208,10.653299017795208,0.2132601023777339,0.8666666666666666,0.8677520476001878,1.0,0.8882210167092363,0.452727322718481,19.2,0.1,139.78845676016834,1.0,0.40000000000000036,3.682220489888023,1.3558304930940048,0.22701149425287548,0.9999999999999996,1.0,0.6145875693154226
5,explore,20.0,2.0,1.0,1.0,1000.0,28.0,5.8,high,2.7613152684148363,2.7613152684148363,362.46524255504295,-42293.468390352966,41.35503013736445,71.18358799525794,0.7126918319406116,0.0730759149932708,20.0,1000.0,2.0,1.0,1.0,0.1765232613066663,1.5267907877066336,5.748838463757038,0.1640094376607881,0.148890269737399,0.2834953942698551,0.2432981457042698,0.506688204109361,2.451825544709048,0.2921648659265974,0.1380657634207418,1.1542524374887655,11.542524374887655,0.2201562608834531,1.0,1.0,1.0,1.0,0.5000000000000001,20.75,0.35,152.82572215748976,0.35,0.20000000000000018,3.5435783220978037,1.103784868621302,0.12356321839080664,0.9363684050229065,0.7805166463923487,0.5932195690708322
19,explore,20.0,5.0,3.0,2.0,1000.0,33.0,6.4,high,2.7613152684148323,2.7613152684148323,362.81910106680647,-42248.49673221712,41.35760559538728,71.25817442507008,0.7101648668513113,0.0722722175136118,20.0,1000.0,5.0,3.0,2.0,0.182364128903912,1.5556942003979242,5.636714416202246,0.1639079950085091,0.1445045707325383,0.2862190156860986,0.252262887121599,0.513426085340569,2.445432210847532,0.2938184905358095,0.1380657634207416,1.1474344000776735,11.474344000776735,0.2213595575240585,0.999999999999998,0.9951459703066988,1.0,0.9914294696639988,0.5017861781942743,21.9,0.35,161.15508616133425,0.35,0.40000000000000036,3.4935783220977985,1.0858534836053124,0.057471264367816244,0.913420265942529,0.7649018523391965,0.5759834796120668
22,explore,16.0,3.0,2.0,1.5,1000.0,32.0,6.3,low,2.2090522147318685,2.2090522147318685,365.81691072164193,-42377.30641961802,41.36302911598672,71.19239576077881,0.5788725786469038,0.0589061159801662,16.0,1000.0,3.0,2.0,1.5,0.1430193166543287,1.197089055361099,5.254866131242861,0.1272297509118748,0.1173770553984592,0.2306059685327775,0.1800645062179156,0.3982544984205494,1.8997759787307968,0.2303000851707292,0.1380657634207417,0.9778582346641392,9.778582346641391,0.2049483080138279,0.7333333333333331,0.7429475255620147,1.0,0.7782658299962129,0.4066771742251625,17.2,0.1,125.30260631870024,1.0,0.2999999999999998,3.3758626576782422,1.1587217620069383,0.3419540229885065,0.8593931571617542,0.8283561342719382,0.569257687767551
12,explore,20.0,8.0,4.0,3.0,1000.0,32.0,6.5,high,2.7613152684148323,2.7613152684148323,362.8211811900731,-42297.02874856755,41.36890613441182,71.2426614259849,0.7095039753412375,0.0719073025453605,20.0,1000.0,8.0,4.0,3.0,0.1800312580284056,1.5320180994295842,5.570691460004615,0.1588754095673402,0.1461861273474995,0.291957810101151,0.2417121148477501,0.5248999292796569,2.442436519141127,0.2919222103119389,0.1380657634207416,1.138073093805907,11.380730938059068,0.2230332992639709,0.999999999999998,0.9938764683940956,1.0,0.9796619543880848,0.5055874330626934,22.900000000000002,0.35,168.3980113820684,0.35,0.5,3.4685783220977986,1.1071313017560866,0.0,0.9019461964023415,0.7834307472365227,0.5667840835655004
17,explore,15.0,4.0,2.0,2.0,1000.0,32.0,6.1,medium,2.070986451311128,2.070986451311128,366.5672009627774,-42416.75013600997,41.37115415525364,71.22773221665155,0.5473758544134144,0.0553087875562427,15.0,1000.0,4.0,2.0,2.0,0.13400056658287,1.0823206919219517,5.090445320287012,0.115544896626425,0.1090405756809535,0.2159723245128406,0.1816386446614079,0.3784145527360077,1.758169533022408,0.2112793650787486,0.1380657634207418,0.9276826471110626,9.276826471110626,0.2015200370593894,0.6666666666666671,0.6824456866888039,1.0,0.7151932228335215,0.3869604603471352,16.5,0.2,120.95685118625966,0.7,0.09999999999999964,3.0201837415733537,0.8906576408599003,0.376436781609197,0.6961497724671134,0.5949237451387094,0.5151970718090604
21,explore,14.0,7.0,3.0,2.5,1000.0,31.0,6.2,medium,1.9329206878903853,1.9329206878903853,367.3191475983661,-42477.35697393082,41.35837299559884,71.2244540575702,0.5148279370973139,0.0517601501793144,14.0,1000.0,7.0,3.0,2.5,0.121835697824995,1.00325361131825,4.925478209945302,0.1051005815243455,0.1014727656967475,0.1963931732768073,0.1680025969330537,0.3366202706919626,1.626991638499394,0.1975169716610662,0.1380657634207418,0.8782665517371925,8.782665517371925,0.197586300426804,0.6000000000000001,0.619924618322478,1.0,0.6530753260030518,0.3664047904795515,16.45,0.2,120.59470492522294,0.7,0.20000000000000018,2.8295048254684625,0.7829551043507372,0.37931034482758785,0.6086352467377091,0.5011355115419711,0.4796445346781323
7,explore,15.0,2.0,4.0,3.0,1000.0,33.0,6.3,high,2.070986451311128,2.070986451311128,366.5679713788021,-42417.72385857717,41.36473254283044,71.18704049167901,0.5475436429659769,0.0551807797930636,15.0,1000.0,2.0,4.0,3.0,0.1312961173718952,1.1085395506725892,5.144313307846608,0.1133903339692293,0.1093909469209249,0.208688983635586,0.1775994901744253,0.3698067855905703,1.7405548479827149,0.2126797119807809,0.1380657634207418,0.9316260076145324,9.316260076145324,0.2007497325605378,0.6666666666666671,0.6827679905543313,1.0,0.7201501758073782,0.3853061027726673,16.400000000000002,0.35,121.3189974472964,0.35,0.2999999999999998,2.690183741573353,0.5410750691846005,0.37356321839080586,0.5446920545366376,0.29050443472774146,0.4605187254197719
15,explore,12.0,2.0,2.0,1.5,1000.0,29.0,5.8,medium,1.656789161048902,1.656789161048902,368.8159530421162,-42552.32554730588,41.37971984735999,71.20102980738352,0.444125944053821,0.0447831010215812,12.0,1000.0,2.0,2.0,1.5,0.1064221476370669,0.8553902078980213,4.5085787990971165,0.0917173336858641,0.0862951231991737,0.1636775280670001,0.1367652969641694,0.2935044598039316,1.370077919377248,0.1637333932929952,0.1380657634207418,0.7776162209022587,7.776162209022587,0.1887828781634861,0.4666666666666668,0.4841136508256087,1.0,0.526554061636563,0.3234011578002719,12.950000000000001,0.2,95.24446665265357,0.7,0.20000000000000018,2.4981469932586826,0.6221558050393483,0.5804597701149435,0.45655433435927667,0.3611101905531259,0.4546590251953882
4,explore,15.0,8.0,4.0,3.0,1000.0,32.0,6.5,high,2.070986451311128,2.070986451311128,366.5705137516834,-42450.90955646309,41.35778939836691,71.17711503734196,0.5479234697962636,0.0554238637667,15.0,1000.0,8.0,4.0,3.0,0.1331937593013421,1.1035768153089904,5.059499503218025,0.114265596073253,0.1107583040312397,0.2140083354782828,0.1729138360795079,0.3744077380890791,1.764595491819666,0.2072208279533496,0.1380657634207418,0.9254440207352737,9.254440207352737,0.2019599714303438,0.6666666666666671,0.6834975972751882,1.0,0.7123791849942074,0.3882083512374913,17.900000000000002,0.35,132.18338527839757,0.35,0.5,2.6401837415733533,0.5222888650451241,0.287356321839082,0.5217439154562625,0.2741452573180309,0.43986284667716247
8,explore,12.0,6.0,3.0,2.5,1000.0,29.0,5.7,medium,1.656789161048902,1.656789161048902,368.8184568941964,-42554.12831259318,41.36126820576297,71.24287544781147,0.4452105907331359,0.0445871017451511,12.0,1000.0,6.0,3.0,2.5,0.1040791083982304,0.8536648208417721,4.535147851767849,0.0928957781318167,0.0862140353492346,0.1679553152679063,0.1330677216205636,0.2893255422549838,1.3615398153440137,0.1664766753657277,0.1380657634207418,0.7790366664342099,7.790366664342099,0.1884778217238224,0.4666666666666668,0.4861971411003371,1.0,0.5283396152773246,0.3232970865946875,14.2,0.2,104.2981231785712,0.7,0.2999999999999998,2.4731469932586823,0.5909212947230436,0.5086206896551737,0.44508026481908897,0.33391092817014484,0.43580558524716495
2,explore,10.0,4.0,2.0,2.0,1000.0,30.0,6.0,medium,1.380657634207419,1.380657634207419,370.31653352438775,-42648.5300022884,41.362822293893714,71.20904076703066,0.3747109211193415,0.0375418389525613,10.0,1000.0,4.0,2.0,2.0,0.0876335559453653,0.7001596108570719,4.01409037973464,0.0740903816660273,0.0714406712844925,0.1370077886236692,0.1086389206556076,0.234043051159963,1.1004940082489258,0.1408467087541411,0.1380657634207419,0.6668445076929904,6.668445076929904,0.1800440141849684,0.3333333333333337,0.3507748152746825,1.0,0.387309837648236,0.2854685939751216,11.5,0.2,84.74222508258904,0.7,0.0,2.2167891610489026,0.5629929936868425,0.6637931034482771,0.3274215610612192,0.30959073937570175,0.4213185168812971
9,explore,10.0,4.0,2.0,2.0,1000.0,30.0,6.0,medium,1.380657634207419,1.380657634207419,370.31653352438775,-42649.14720682279,41.36019601169651,71.27555215254999,0.3756617451628774,0.0381874192890149,10.0,1000.0,4.0,2.0,2.0,0.0856923518897982,0.6942830769813768,4.064474883979467,0.0740030413216322,0.0691231231420161,0.1374978233156664,0.1097174876846031,0.2304773508019972,1.1167325296656847,0.1378024550849737,0.1380657634207419,0.6719804123867216,6.719804123867216,0.1788462002473428,0.3333333333333337,0.3526012465775803,1.0,0.3937658636754363,0.2836655926913258,11.5,0.2,84.74222508258904,0.7,0.0,2.2167891610489026,0.5380741294530158,0.6637931034482771,0.3274215610612192,0.28789119231323573,0.4181313216650451
13,explore,7.0,5.0,3.0,2.5,1000.0,28.0,5.7,low,0.966460343945193,0.966460343945193,372.5673657269932,-42823.13089756143,41.35935831791035,71.22211328456805,0.2663642306774792,0.0263956689466066,7.0,1000.0,5.0,3.0,2.5,0.0599937348317153,0.4806882365157559,3.079834123090393,0.0520032191245058,0.0504474690617656,0.0936791332666538,0.076560073374163,0.1601694889035602,0.7601585977528363,0.0923612305368176,0.1380657634207418,0.4905895306458167,4.905895306458167,0.1636433248128115,0.1333333333333334,0.1426524099424697,1.0,0.1657506797010372,0.2309836979235878,8.95,0.1,65.5484732476437,1.0,0.2999999999999998,1.8847524127342317,0.6113564879923241,0.8160919540229891,0.17502905145880793,0.3517060585547549,0.3962244132633908
3,explore,12.0,6.0,3.0,2.5,1000.0,31.0,6.2,high,1.656789161048902,1.656789161048902,368.8184568941964,-42561.890924551706,41.3623564922373,71.23696250290348,0.4437717542299694,0.0444849995810007,12.0,1000.0,6.0,3.0,2.5,0.1020095624220078,0.8641102856215147,4.520374832371151,0.0918233388853055,0.0854110630336719,0.1697312925941454,0.1329654263211131,0.2825961646247076,1.369010995417543,0.1644504535777231,0.1380657634207418,0.7782483414868883,7.782483414868882,0.1886470013987082,0.4666666666666668,0.483433290052395,1.0,0.5273486610674438,0.3229529578061602,14.2,0.35,105.38456196168131,0.35,0.20000000000000018,2.2181469932586824,0.33871185025711936,0.5000000000000013,0.32804475550917606,0.11428491879699297,0.39434713316711306
20,explore,6.0,2.0,1.0,1.0,1000.0,28.0,5.5,low,0.8283945805244508,0.8283945805244508,373.31434317922304,-42944.59596512226,41.36206562119497,71.2116742503001,0.22921511422716,0.0229487989147827,6.0,1000.0,2.0,1.0,1.0,0.0504382277668081,0.4075364436799541,2.722635371442803,0.0423521345343989,0.0425136592070302,0.0817513264681859,0.0634421166890399,0.1363987946030854,0.6437107871490239,0.0789263736852797,0.1380657634207418,0.426970523522561,4.26970523522561,0.1571994150615874,0.0666666666666666,0.0712929301090216,1.0,0.0857791867888523,0.2144671838178237,6.75,0.1,49.61403776202866,1.0,0.5,1.669073496629341,0.5459875509227148,0.9425287356321841,0.0760404561892163,0.2947822632703847,0.3895948107071071
0,explore,5.0,2.0,1.0,1.0,1000.0,28.0,5.5,low,0.6903288171037091,0.6903288171037091,374.0642096915449,-43061.74210225394,41.36226297917078,71.20192857491912,0.1921638468868,0.018683021938938,5.0,1000.0,2.0,1.0,1.0,0.0414343272413995,0.3304796083854364,2.3297348974434864,0.0363785265368048,0.0355108697622029,0.0676282252382212,0.0509695509279048,0.1113740834821676,0.5278036758581484,0.0673513046321187,0.1380657634207418,0.3598665069507891,3.598665069507891,0.1501150457077279,0.0,0.0001214079514499,1.0,0.0014269054768901,0.1995309350709509,5.75,0.1,42.37111254129455,1.0,0.5,1.5033945805244509,0.5481219403836544,1.0,0.0,0.29664090675119065,0.3793969207724585
18,explore,8.0,3.0,3.0,2.5,1000.0,27.0,5.6,medium,1.1045261073659347,1.1045261073659347,371.816651757044,-42828.545762514055,41.37170049743178,71.22103735547834,0.3029121789426731,0.0305508817712969,8.0,1000.0,3.0,3.0,2.5,0.0684799995055652,0.5539942830883339,3.4183882909150287,0.0579950084004539,0.0561939865807485,0.1088985339579287,0.0849688765710886,0.1880619037084033,0.879383369883989,0.1075832696989535,0.1380657634207418,0.5523947522310494,5.523947522310494,0.1693033402841904,0.2000000000000001,0.2128571099835011,1.0,0.243442175740319,0.2480095159867636,9.45,0.2,69.89422838008417,0.7,0.40000000000000036,1.7854313288391213,0.37031341820394736,0.7816091954022995,0.129444370522036,0.1418038179119469,0.37315900779942135
11,explore,5.0,8.0,4.0,3.0,1000.0,30.0,6.2,low,0.6903288171037091,0.6903288171037091,374.0683462117134,-43063.99224721442,41.362815102725314,71.24258980734508,0.1921006429770051,0.0185676690951551,5.0,1000.0,8.0,4.0,3.0,0.0406593555014572,0.3325765878868175,2.320765650158405,0.03489632420002,0.0352057330288488,0.0680520838990867,0.0523837946027272,0.1134446682544546,0.5227753933567122,0.0665541449887426,0.1380657634207418,0.3587313735877272,3.5873137358772724,0.1504865062323215,0.0,0.0,1.0,0.0,0.2,7.8999999999999995,0.1,57.943401765872885,1.0,0.20000000000000018,1.5783945805244508,0.6287470440711276,0.8764367816091958,0.03442220862056261,0.36684989442678406,0.3671356770576019
10,explore,8.0,8.0,1.0,1.0,1000.0,27.0,5.6,medium,1.1045261073659347,1.1045261073659347,371.81715252746005,-42753.43833484493,41.35974872321975,71.250618281252,0.3021643119154261,0.030160287655717,8.0,1000.0,8.0,1.0,1.0,0.0684901961481473,0.546172588790048,3.406066090153069,0.0575882075048236,0.0580133713134646,0.1083869164224658,0.0856308650026281,0.1882890981609263,0.8691915264312909,0.1089539056688087,0.1380657634207418,0.5496782765595674,5.496782765595674,0.1700112420589244,0.2000000000000001,0.2114205374039001,1.0,0.2400274633024596,0.2488455221951142,10.25,0.2,75.68856855667146,0.7,0.40000000000000036,1.7854313288391213,0.38329750293956,0.7356321839080466,0.129444370522036,0.15311046315627574,0.3655617266256354
