scenario,search_stage,glucose,ammonium,phosphate,sulfate,temperature,pH,mixing,growth,biomass_flux_mean,biomass_yield,byproduct_total,economic_score,morphology_score,meatiness_score,industrial_score
14,explore,18.0,3.0,1.0,1.0,31.0,6.4,low,2.485183741573353,0.6490660892619549,0.1380657634207418,10.679104114939298,0.2385057471264384,1.0,0.9924018100876326,0.6169822970431013
6,explore,18.0,3.0,2.0,1.5,31.0,6.4,low,2.4851837415733526,0.6438447131627909,0.1380657634207418,10.653299017795208,0.2270114942528754,0.9999999999999996,1.0,0.6145875693154226
5,explore,20.0,2.0,1.0,1.0,28.0,5.8,high,2.7613152684148363,0.7126918319406116,0.1380657634207418,11.542524374887655,0.1235632183908066,0.9363684050229064,0.7805166463923487,0.5932195690708322
19,explore,20.0,5.0,3.0,2.0,33.0,6.4,high,2.7613152684148323,0.7101648668513113,0.1380657634207416,11.474344000776735,0.0574712643678162,0.913420265942529,0.7649018523391965,0.5759834796120668
22,explore,16.0,3.0,2.0,1.5,32.0,6.3,low,2.2090522147318685,0.5788725786469038,0.1380657634207417,9.778582346641391,0.3419540229885065,0.8593931571617542,0.8283561342719382,0.569257687767551
12,explore,20.0,8.0,4.0,3.0,32.0,6.5,high,2.7613152684148323,0.7095039753412375,0.1380657634207416,11.380730938059068,0.0,0.9019461964023416,0.7834307472365227,0.5667840835655004
17,explore,15.0,4.0,2.0,2.0,32.0,6.1,medium,2.070986451311128,0.5473758544134144,0.1380657634207418,9.276826471110626,0.376436781609197,0.6961497724671134,0.5949237451387094,0.5151970718090604
21,explore,14.0,7.0,3.0,2.5,31.0,6.2,medium,1.9329206878903853,0.5148279370973139,0.1380657634207418,8.782665517371925,0.3793103448275878,0.6086352467377091,0.5011355115419711,0.4796445346781323
7,explore,15.0,2.0,4.0,3.0,33.0,6.3,high,2.070986451311128,0.5475436429659769,0.1380657634207418,9.316260076145324,0.3735632183908058,0.5446920545366376,0.2905044347277414,0.4605187254197719
15,explore,12.0,2.0,2.0,1.5,29.0,5.8,medium,1.656789161048902,0.444125944053821,0.1380657634207418,7.776162209022587,0.5804597701149435,0.4565543343592766,0.3611101905531259,0.4546590251953882
4,explore,15.0,8.0,4.0,3.0,32.0,6.5,high,2.070986451311128,0.5479234697962636,0.1380657634207418,9.254440207352737,0.287356321839082,0.5217439154562625,0.2741452573180309,0.4398628466771624
8,explore,12.0,6.0,3.0,2.5,29.0,5.7,medium,1.656789161048902,0.4452105907331359,0.1380657634207418,7.790366664342099,0.5086206896551737,0.4450802648190889,0.3339109281701448,0.4358055852471649
2,explore,10.0,4.0,2.0,2.0,30.0,6.0,medium,1.380657634207419,0.3747109211193415,0.1380657634207419,6.668445076929904,0.6637931034482771,0.3274215610612192,0.3095907393757017,0.4213185168812971
9,explore,10.0,4.0,2.0,2.0,30.0,6.0,medium,1.380657634207419,0.3756617451628774,0.1380657634207419,6.719804123867216,0.6637931034482771,0.3274215610612192,0.2878911923132357,0.4181313216650451
13,explore,7.0,5.0,3.0,2.5,28.0,5.7,low,0.966460343945193,0.2663642306774792,0.1380657634207418,4.905895306458167,0.8160919540229891,0.1750290514588079,0.3517060585547549,0.3962244132633908
3,explore,12.0,6.0,3.0,2.5,31.0,6.2,high,1.656789161048902,0.4437717542299694,0.1380657634207418,7.782483414868882,0.5000000000000013,0.328044755509176,0.1142849187969929,0.394347133167113
20,explore,6.0,2.0,1.0,1.0,28.0,5.5,low,0.8283945805244508,0.22921511422716,0.1380657634207418,4.26970523522561,0.942528735632184,0.0760404561892163,0.2947822632703847,0.3895948107071071
0,explore,5.0,2.0,1.0,1.0,28.0,5.5,low,0.6903288171037091,0.1921638468868,0.1380657634207418,3.598665069507891,1.0,0.0,0.2966409067511906,0.3793969207724585
18,explore,8.0,3.0,3.0,2.5,27.0,5.6,medium,1.1045261073659347,0.3029121789426731,0.1380657634207418,5.523947522310494,0.7816091954022995,0.129444370522036,0.1418038179119469,0.3731590077994213
11,explore,5.0,8.0,4.0,3.0,30.0,6.2,low,0.6903288171037091,0.1921006429770051,0.1380657634207418,3.5873137358772724,0.8764367816091958,0.0344222086205626,0.366849894426784,0.3671356770576019
10,explore,8.0,8.0,1.0,1.0,27.0,5.6,medium,1.1045261073659347,0.3021643119154261,0.1380657634207418,5.496782765595674,0.7356321839080466,0.129444370522036,0.1531104631562757,0.3655617266256354
1,explore,7.0,3.0,2.0,1.5,29.0,5.7,medium,0.966460343945193,0.2660840036621505,0.1380657634207418,4.939831073548347,0.8534482758620693,0.0648779838730074,0.1277411430752284,0.3638426122270805
16,explore,10.0,6.0,4.0,3.0,30.0,6.3,high,1.3806576342074186,0.3742322230249003,0.1380657634207418,6.668721614491341,0.60344827586207,0.164489773590556,0.0,0.3537058277660185
23,explore,9.0,8.0,4.0,3.0,29.0,6.0,high,1.2425918707866768,0.3391320916212659,0.1380657634207418,6.112889927724272,0.6321839080459779,0.1228715260219023,0.018366263298469,0.3422406650709797
